Created At,Contagem
2019-10-12T00:00:00.000-03:00,75
2019-10-13T00:00:00.000-03:00,135
2019-10-14T00:00:00.000-03:00,96
2019-10-15T00:00:00.000-03:00,150
2019-10-16T00:00:00.000-03:00,276
2019-10-17T00:00:00.000-03:00,226
2019-10-18T00:00:00.000-03:00,174
2019-10-19T00:00:00.000-03:00,198
2019-10-20T00:00:00.000-03:00,229
2019-10-21T00:00:00.000-03:00,196
2019-10-22T00:00:00.000-03:00,170
2019-10-23T00:00:00.000-03:00,151
2019-10-24T00:00:00.000-03:00,373
2019-10-25T00:00:00.000-03:00,677
2019-10-26T00:00:00.000-03:00,256
2019-10-27T00:00:00.000-03:00,350
2019-10-28T00:00:00.000-03:00,335
2019-10-29T00:00:00.000-03:00,78
2019-10-30T00:00:00.000-03:00,68
2019-10-31T00:00:00.000-03:00,84
2019-11-01T00:00:00.000-03:00,153
2019-11-02T00:00:00.000-03:00,275
2019-11-03T01:00:00.000-02:00,242
2019-11-04T00:00:00.000-02:00,195
2019-11-05T00:00:00.000-02:00,187
2019-11-06T00:00:00.000-02:00,237
2019-11-07T00:00:00.000-02:00,251
2019-11-08T00:00:00.000-02:00,179
2019-11-09T00:00:00.000-02:00,203
2019-11-10T00:00:00.000-02:00,247
2019-11-11T00:00:00.000-02:00,239
2019-11-12T00:00:00.000-02:00,210
2019-11-13T00:00:00.000-02:00,168
2019-11-14T00:00:00.000-02:00,115
2019-11-15T00:00:00.000-02:00,69
2019-11-16T00:00:00.000-02:00,79
2019-11-17T00:00:00.000-02:00,109
2019-11-18T00:00:00.000-02:00,97
2019-11-19T00:00:00.000-02:00,144
2019-11-20T00:00:00.000-02:00,270
2019-11-21T00:00:00.000-02:00,126
2019-11-22T00:00:00.000-02:00,96
2019-11-23T00:00:00.000-02:00,94
2019-11-24T00:00:00.000-02:00,65
2019-11-25T00:00:00.000-02:00,129
2019-11-26T00:00:00.000-02:00,88
2019-11-27T00:00:00.000-02:00,94
2019-11-28T00:00:00.000-02:00,131
2019-11-29T00:00:00.000-02:00,101
2019-11-30T00:00:00.000-02:00,46
2019-12-01T00:00:00.000-02:00,73
2019-12-02T00:00:00.000-02:00,132
2019-12-03T00:00:00.000-02:00,212
2019-12-04T00:00:00.000-02:00,113
2019-12-05T00:00:00.000-02:00,125
2019-12-06T00:00:00.000-02:00,74
2019-12-07T00:00:00.000-02:00,61
2019-12-08T00:00:00.000-02:00,122
2019-12-09T00:00:00.000-02:00,115
2019-12-10T00:00:00.000-02:00,178
2019-12-11T00:00:00.000-02:00,165
